Year,Latin America & Caribbean,Sub-Saharan Africa,East Asia & Pacific,Middle East & North Africa (excluding high income),Central Europe and the Baltics,North America,South Asia,World
2001,31.73135584,44.30032621,25.34827878,36.04993995,17.76641067,21.26430122,35.53170701,29.82472106
2002,31.28593123,44.24485728,24.6547223,35.24906426,17.22278622,21.11609724,35.14911811,29.41354662
2003,30.84191428,44.16832806,23.85591103,34.46986295,16.69159594,20.973312,34.7479629,28.96371934
2004,30.39732605,44.08532329,23.1226407,33.75138512,16.20965487,20.79303524,34.33877148,28.54062141
2005,29.94984156,44.00263343,22.54152009,33.11696113,15.80495371,20.56582066,33.92625589,28.17775418
2006,29.49948042,43.99410128,22.01943978,32.59786643,15.51738353,20.48128129,33.56241776,27.87589576
2007,29.04189924,43.96549093,21.63245148,32.15583586,15.31909588,20.34004807,33.19476502,27.6218606
2008,28.58021169,43.91776425,21.35450477,31.79433926,15.19305861,20.16677257,32.81891265,27.40689213
2009,28.12183934,43.84821036,21.12106435,31.51041051,15.10354497,19.99542981,32.4234728,27.20925157
2010,27.67366291,43.75554258,20.89613639,31.2997356,15.02567611,19.83673199,32.00137839,27.01543083
2011,27.23207019,43.6969553,20.70972597,31.13853194,15.02718137,19.6667858,31.58956542,26.85829337
2012,26.813996,43.60101897,20.53960438,31.05329799,14.97780604,19.47199162,31.13758964,26.69406289
2013,26.41388388,43.47314714,20.38277213,31.0251603,14.91502719,19.27237767,30.66031111,26.52916793
2014,26.02292364,43.31790795,20.2394885,31.02090262,14.89612004,19.0802505,30.18380561,26.36935043
2015,25.63626773,43.1375358,20.10687948,31.01591674,14.94536818,18.89996956,29.7232815,26.21559437
2016,25.26752741,42.9699311,20.00322042,31.09580037,14.91093074,18.7091466,29.25006738,26.07401005
2017,24.89901959,42.7688317,19.88880881,31.12203514,14.99518394,18.55655094,28.8210935,25.93512021
2018,24.53977482,42.53826706,19.76764023,31.11101639,15.13560197,18.41989668,28.41637568,25.79570551
2019,24.19874734,42.28260467,19.6438965,31.08364873,15.23712681,18.27157969,28.00686448,25.6493514
2020,23.88125329,42.00546033,19.51646664,31.04509499,15.25336743,18.10322151,27.58159651,25.49073302